"Id","Y1","Y2","Y3","Y4","Y5","T1","T2","T3","T4","T5","X1","","","","","","gr"
1,0.461894884565205,0.862309874839879,0.996423572569608,0.915851255993392,0.851144165825473,1,2,3,4,5,0.32,0.07,2.69,-1.01,1.67,-2.22,1
2,0.979552168187439,0.996834050895568,0.756698262065253,0.460090717797821,0.232353302333634,1,2,3,4,5,0.36,1.96,-2.03,2.01,-1.04,-1.34,2
3,0.554066821505291,0.904113838674549,0.951265531937992,0.985054552611523,0.509998168035203,1,2,3,4,5,0.49,2.58,2.57,1.26,-0.35,1.49,1
4,0.999948865307397,0.865676571913114,0.960825860119207,0.308108366815801,0.580056601554648,1,2,3,4,5,0.38,-2.87,-0.6,-0.93,-1.71,-1.67,2
5,0.999996958191777,0.882361156793159,0.98637784888714,0.470486352643821,0.465699578259309,1,2,3,4,5,0.04,0.63,-1.03,-2.82,1.87,0.18,2
6,0.898553474612887,0.874296001666708,0.53465700165466,0.470964301017605,0.218925174519506,1,2,3,4,5,0.17,-1.9,0.3,-0.78,2.51,0.51,2
7,0.930012378798241,0.647321711218665,0.213831737616774,0.0617525993102908,0.395721524251521,1,2,3,4,5,0.89,-1.51,1.93,-2,0.89,-2.2,2
8,0.79561962198556,0.814173497391264,0.82195744197185,0.0565451551576702,0.190632721759499,1,2,3,4,5,0.83,2.86,1.34,-2.3,2.95,2.95,2
9,0.997429404679336,0.856606151910472,0.85914032882432,0.892467298251085,0.797188084250063,1,2,3,4,5,0.39,2.34,-2.12,-1.65,2.47,-1.69,2
10,0.920319371430347,0.91199252534423,0.369127549469358,0.11065118004629,0.0105685546247103,1,2,3,4,5,0.07,-2.44,1.83,-2.24,-0.04,1.2,2
11,0.00117733886579484,0.436739242240152,0.675591819828299,0.84923836055655,0.493939730263112,1,2,3,4,5,0.44,-0.15,0.53,1.01,-1.03,0.3,1
12,0.978304727989058,0.985724716668646,0.997734644721612,0.762601823988274,0.566128796879908,1,2,3,4,5,0.13,-0.67,-1.23,-2.41,-0.89,2.52,2
13,0.921917693903591,0.780919816695219,0.783324155098345,0.212020266025368,0.0436216825039406,1,2,3,4,5,0.94,-2.93,2.16,0.67,1.43,-1.83,2
14,0.998153784402944,0.998515168054351,0.772123716996863,0.436623264330397,0.150661187171519,1,2,3,4,5,0.57,1.68,-1.3,-1.76,1,-0.73,2
15,0.995679458050064,0.497808696909066,0.896910182645578,0.651781254275357,0.373862728471064,1,2,3,4,5,0.77,-0.93,0.37,-0.11,-2.29,-2.38,2
16,0.964418283538352,0.918908057855777,0.834296191462184,0.694293871119409,0.280425545537071,1,2,3,4,5,0.96,-2.58,-0.19,-1.79,-2.58,1.05,2
17,0.60046160949045,0.999362393770203,0.972169111165355,0.522279957415472,0.578341290214657,1,2,3,4,5,0.31,0.31,-2.53,-0.58,-0.03,-0.64,2
18,0.93001010825741,0.71206542439285,0.622308722303101,0.0791553506646049,0.374739912023315,1,2,3,4,5,0.62,0.73,-0.38,-0.48,-0.95,-2.96,2
19,0.999999999982307,0.944577282280777,0.991095085475212,0.868188242366057,0.425305593961511,1,2,3,4,5,0.45,-2.19,-2.45,-2.11,2.9,-0.71,2
20,9.83252574940697e-05,0.312979617823144,0.308632941409627,0.50582658626433,0.698043025773717,1,2,3,4,5,0.03,-0.06,0.77,1.33,-0.15,-2.55,1
21,0.999999999366813,0.996435305261455,0.977979293128839,0.84774390606234,0.162323516894189,1,2,3,4,5,0.44,1.16,-2.28,-1.74,1.04,-2.26,2
22,0.778765150451602,0.706859470466276,0.761348313027406,0.0780486634052125,0.00130279846977975,1,2,3,4,5,0.96,2.33,2.83,-0.89,-2.54,-1.06,2
23,0.990835607093459,0.995864251454543,0.837774908523214,0.841479932069325,0.533520550049934,1,2,3,4,5,0.8,-1.9,-1.66,2.71,1.05,-1.79,2
24,0.893854310531923,0.710433610727231,0.637961986984596,0.516858102111703,0.0719383743507996,1,2,3,4,5,0.33,-1.16,-0.12,-1.14,2.43,-1.67,2
25,1,0.960536002074158,0.719867566624107,0.626970161867299,0.362941031902179,1,2,3,4,5,0.25,0.33,-1.98,2.97,2.67,2.75,2
26,0.998373553345289,0.86952659069047,0.90914511462408,0.55905286612778,0.297611456765353,1,2,3,4,5,0.92,-1.48,-0.08,-2.35,-0.24,1.35,2
27,0.941532264878547,0.98813682358613,0.961513848160071,0.335796453365591,0.0509955541323516,1,2,3,4,5,0.26,-0.5,-1.16,1.13,-0.62,-0.36,2
28,0.971976271113822,0.994652359109566,0.709737293543104,0.112002392592603,0.088683534285237,1,2,3,4,5,1,-2.85,0.72,-2.53,2.54,-2.35,2
29,0.330799032169187,0.329964647718924,0.255797462970933,0.252095890121643,0.343634653306136,1,2,3,4,5,0.87,-1.42,0.09,-1.73,0.22,-0.36,1
