"Id","Y1","Y2","Y3","Y4","Y5","Y6","T1","T2","T3","T4","T5","T6","X1","","","","","","","gr"
1,0.004289921430804,0.537673849511608,0.798532890077436,0.922092317535751,0.748892802541405,0.042285374125848,1,2,3,4,5,6,0.58,-1.44,0.54,-0.21,-0.37,0.24,-0.13,1
2,0.999997945874478,0.67413168046297,0.668130760095412,0.489559175787816,0.194858648462572,0.0649259070260291,1,2,3,4,5,6,0.55,1.79,-0.3,0.8,3.84,-4.28,-4.81,2
3,0.0103798499624722,0.422006603952933,0.348484428632503,0.878701265088805,0.165614775326954,0.0822526071436154,1,2,3,4,5,6,0.55,3,-0.81,4.25,4.8,-1.65,4.28,1
4,0.857454943680922,0.764251298069102,0.338898287636192,0.637080555682709,0.330174281277493,0.00343549011477587,1,2,3,4,5,6,0.95,-1.87,-2.28,-3.93,2.76,-1.83,4.74,2
5,0.999999999925154,0.818485947887969,0.797315188236425,0.566938848742097,0.320305576690903,0.456445252325679,1,2,3,4,5,6,0.88,-3.5,-4.12,-1.1,3.83,3.83,0.78,2
6,0.955245704101606,0.899039612609271,0.443262963545609,0.41986490796909,0.162761628354808,0.178922553943826,1,2,3,4,5,6,0.86,0.62,0.85,-0.86,-3.9,0.08,4.84,2
7,0.997932011756605,0.880860861019639,0.968946729520836,0.367423815134621,0.658324723056377,0.154653415232964,1,2,3,4,5,6,0.63,0.07,-2.49,1.91,-4.68,0.3,0.01,2
8,3.94287899335462e-11,0.471452329049124,0.662513346207644,0.339510208296731,0.43109859322856,0.0552178871824424,1,2,3,4,5,6,0.69,-0.55,-2.85,-0.06,1.72,-1.9,-2.57,1
9,0.829502498398455,0.86794132741183,0.870182024172992,0.816881874816676,0.228142112588771,0.0132491592046527,1,2,3,4,5,6,0.75,-1.5,-1.24,0.95,3.41,-2.31,4.42,2
10,0.945845007999419,0.790684033507649,0.500653921015471,0.319634253564789,0.186928546186047,0.127497912709326,1,2,3,4,5,6,0.38,4.31,0.01,4.41,-4.6,-4.99,-3.79,2
11,0.991752589542344,0.638752702951339,0.296151531373553,0.312742490545273,0.0237621309515476,0.196352633464356,1,2,3,4,5,6,0.31,0.18,1.21,3.47,-1.5,-4.04,0.56,2
12,0.999937970941651,0.687716843016074,0.224298197787907,0.190882347880196,0.047523715925349,0.0900119499892141,1,2,3,4,5,6,0.41,-0.83,4.27,-3.15,1.99,1.15,3.08,2
13,0.990633586848166,0.985059294867012,0.521426610414466,0.743926497694603,0.199054914504642,0.0617205606293899,1,2,3,4,5,6,0.93,4.83,-1.11,1.95,-1.1,-2.87,-1.56,2
14,0.0024593532481538,0.432950746989969,0.812892338387273,0.508177238325165,0.242198650531276,0.0360853050007696,1,2,3,4,5,6,0.81,3.69,-0.32,-2.47,-3.99,0.84,2.21,1
15,0.993426494508736,0.97234085728704,0.720051314549185,0.173572896476689,0.00290275259122314,1.42767422073893e-05,1,2,3,4,5,6,0.36,-4.19,2.02,2.31,-4.56,-3.37,4.56,2
16,0.959116856645825,0.607493636336852,0.669702809516015,0.49647952154934,0.00376236354409082,0.00194618047315816,1,2,3,4,5,6,0.55,1.11,4.62,-2.24,2.48,-4.79,1.15,2
17,0.999925262020867,0.816218136223497,0.50801731933544,0.456252983639684,0.0651480346199548,0.000420886388518451,1,2,3,4,5,6,0.64,4.39,1.94,-1.64,0.5,4.93,4.24,2
18,0.999191942620055,0.806450444342926,0.585584134830045,0.318327212505842,0.0664633205767557,0.000931498168054827,1,2,3,4,5,6,0.48,-3.69,4.67,4.03,-4.35,0.43,-4.01,2
19,0.999948328015583,0.971185791172317,0.999567728635778,0.70782324692072,0.305173775462572,0.171832096221824,1,2,3,4,5,6,0.38,-2.9,-4.4,3.85,-0.71,-4.22,-4.46,2
20,0.999999526906958,0.908173209563125,0.924377872276047,0.843189914969983,0.480178042610824,0.231235952449878,1,2,3,4,5,6,0.39,2.66,-1.43,-2.16,2.71,2.61,-0.41,2
21,0.740237823134528,0.895693566311475,0.508751455117501,0.675062078332925,0.549877945958553,0.012952167161827,1,2,3,4,5,6,0.88,3.58,0.41,-1.78,1.89,0.62,-1.98,2
22,0.999944444160396,0.965766131330889,0.907004457966986,0.937826318786145,0.650824955287735,0.366932976697362,1,2,3,4,5,6,0.09,0.51,-4.07,0.5,-1.88,1.26,1.18,2
23,0.999536236295835,0.964593480060173,0.083866971657039,0.0937219664927246,0.203937985275236,0.00931825395715727,1,2,3,4,5,6,0.03,1.81,1.9,-2.36,2.24,-1.51,-1.84,2
24,0.000555541373882782,0.313020387534427,0.833896115717293,0.425356136646651,0.788266680168323,0.307454281538821,1,2,3,4,5,6,0.52,4.47,3.63,-2.66,-0.83,-1.16,3.34,1
25,0.00755416179038891,0.86108591332821,0.901986444504518,0.970969484466886,0.725134722965741,0.165752877397058,1,2,3,4,5,6,0.24,-1.12,4.02,-4.75,-0.61,4.5,4.58,1
26,0.941549046245519,0.970674730159382,0.996167065073078,0.855258193715813,0.809266839133569,0.00110920560779606,1,2,3,4,5,6,0.1,-1.86,-2.67,2.31,2.15,0.88,4.51,2
27,0.212818713450965,0.240224839895909,0.953936443510303,0.715582233088848,0.43290746068572,0.237095948125055,1,2,3,4,5,6,0.78,4.55,4.46,-4.64,-1.84,-0.84,-0.01,1
28,0.0672523941730366,0.183874624199973,0.33478286952972,0.85729065219366,0.355882718909066,0.716463515123402,1,2,3,4,5,6,0.47,1.17,-1.39,2.03,-1.18,-2.19,2.76,1
29,0.00584005607609099,0.177012465762207,0.482103192313707,0.533078701092355,0.169715772104661,0.00754412904449067,1,2,3,4,5,6,0.5,2.87,-2.69,4.87,-0.16,-1.79,3.72,1
30,0.0936204619249447,0.754473986006233,0.976996770214224,0.983430368158028,0.936462118894736,0.404499863075987,1,2,3,4,5,6,0.57,0.63,4.6,-0.78,-2.73,2.26,2.42,1
31,0.00446596805471558,0.0527532518731781,0.242323107614281,0.29450018539405,0.504499991711561,0.100871571152392,1,2,3,4,5,6,0.33,2.98,-2.52,2.23,4.42,-0.62,1.35,1
32,0.15919797555404,0.293835219033593,0.691043499208043,0.738527377472678,0.721992323092456,0.0476358676449312,1,2,3,4,5,6,0.52,-3.88,1.39,0.57,1.11,-1.95,-0.29,1
33,0.999988974469584,0.921247807754627,0.693945756621645,0.490540795795208,0.394822986039291,0.326142026009181,1,2,3,4,5,6,0.47,-0.77,-1.71,-3.62,2.2,-3.47,-0.33,2
34,3.37385464989167e-14,0.408067892074026,0.34351609880563,0.662481166652031,0.405925722546418,0.00556816002357608,1,2,3,4,5,6,0.65,1.09,-3.87,4.85,0.96,3.17,4.57,1
35,0.83124288512837,0.47533821485708,0.68802858985405,0.307789684583248,0.0691692656321485,0.0141882783891313,1,2,3,4,5,6,0.12,-2.24,2.84,3.82,-3.06,-4.09,-0.53,2
36,0.00902467615757411,0.343362121977315,0.856890437094477,0.982782191521554,0.784247316751292,0.275275798978678,1,2,3,4,5,6,0.85,4.37,3.82,-0.71,0.49,-4.74,0.47,1
37,0.0976329973160803,0.337520929831018,0.274056088872729,0.271648983081211,0.636220310163865,0.0831380715253453,1,2,3,4,5,6,0.18,-3.26,-1.97,-4.51,4.04,-1.55,4.23,1
38,0.993847550456823,0.858547039675528,0.275419622700464,0.622500427343122,0.0234465764471817,0.0002747520516546,1,2,3,4,5,6,0.54,-4.09,3.21,2.39,4.21,-3.36,2.5,2
39,0.752324772477392,0.998213465453963,0.55805378604942,0.787996150208315,0.18161387178624,0.043826189798326,1,2,3,4,5,6,0.71,3.72,0.75,0.61,-2.74,3.91,4.76,2
40,0.995935698362073,0.885401509940971,0.392980398111625,0.288113564883438,0.0836218343330282,0.031691824838782,1,2,3,4,5,6,0.13,-1.92,4.34,0.67,1.78,-3.81,3.41,2
41,0.47797633870091,0.140992170291451,0.378936243745419,0.533737364869736,0.0950603543486958,0.001527500985136,1,2,3,4,5,6,0.5,1.18,4.68,1.05,-0.99,2.43,-1.2,2
42,0.970359827062864,0.977275135359862,0.386212333907979,0.497441375418631,0.0562110501494568,0.0113228125389857,1,2,3,4,5,6,0.04,-4.38,3.62,2.12,-2.72,4.36,2.07,2
43,0.000423107786629562,0.244283843797618,0.22107133005804,0.21107822631647,0.210690314516696,0.000930700522647036,1,2,3,4,5,6,0.78,-1.7,-4.42,-2.06,-3.28,0.86,-2.86,1
44,0.999994909538328,0.804670236294867,0.661131463989892,0.71628071748638,0.639141844776797,4.25893770700323e-06,1,2,3,4,5,6,0.68,1.76,1.01,-0.74,-2.08,0.46,-0.84,2
