"Id","Y1","Y2","Y3","Y4","Y5","Y6","T1","T2","T3","T4","T5","T6","X1","","","","","","","gr"
1,0.90312908058274,0.422992365889899,0.628292813879346,0.242514006138544,0.0391911825789199,0.0182600585985796,1,2,3,4,5,6,0.21,-2.57,1.19,0.38,2.52,2.24,2.81,2
2,0.999015533586212,0.567842166729047,0.558216569220632,0.181547002831474,0.217395161415805,0.000918070471746506,1,2,3,4,5,6,0.53,-2.72,0.75,-2.41,-0.93,2.84,0.2,2
3,2.34202513767265e-07,0.726705368958043,0.814959328423312,0.642327857358564,0.520590643600779,0.0882434399683012,1,2,3,4,5,6,0.76,-0.67,-0.38,1.41,1.25,0.6,-0.97,1
4,0.999979399918779,0.927500604045251,0.84652029080875,0.946655929169252,0.630436383791109,0.534858802251053,1,2,3,4,5,6,0.94,-0.61,-2.72,2.46,-1.56,2.48,-0.72,2
5,0.576577877109112,0.706373278579303,0.670344469754022,0.185172283698973,0.00454017098930667,1.71864612918337e-07,1,2,3,4,5,6,0.92,-1.96,1.71,-1.63,2.61,-0.05,2.09,2
6,0.99254951248655,0.986100958984558,0.708170908001597,0.281943009373451,0.0591034936943599,0.338036440622767,1,2,3,4,5,6,0.75,0.81,-0.36,-2.57,-0.91,-0.86,-0.91,2
7,0.000259606276642616,0.720569729595176,0.680770191109539,0.734090237039039,0.870115491367838,0.260528426559445,1,2,3,4,5,6,0.91,-2.07,1.06,-1.71,-0.13,-0.77,-2.94,1
8,1,0.729854885372003,0.752223041138416,0.620007968374024,0.305506004326023,0.000356955810362988,1,2,3,4,5,6,0.33,-1.3,-1.05,0.34,-2.01,-0.62,-0.87,2
9,0.946986032082277,0.999993935296006,0.89089561688653,0.700491754238576,0.50986273456831,0.0140266453538313,1,2,3,4,5,6,0.77,1.74,-2.26,0.89,-0.6,-1.89,0.2,2
10,0.322944027164699,0.728704866918599,0.594752208788317,0.450442486974335,0.2498129919211,0.0036556753193718,1,2,3,4,5,6,0.43,-1.01,2.05,2.34,2.58,2.52,0.23,2
11,0.0185248299357171,0.394243293662629,0.556201981835583,0.608826051084695,0.466079674817596,0.0652554896236907,1,2,3,4,5,6,0.18,-2.13,-0.16,-0.37,1.77,2.48,1.95,1
12,0.000424822369733047,0.454749069992044,0.689081928857552,0.759750630704287,0.695837475039496,0.0556204308775054,1,2,3,4,5,6,0.94,2.6,0.13,2.81,-1.47,-0.66,2.95,1
13,0.630845393072381,0.682953855633523,0.223939629625521,0.285120145649692,0.0902880571779438,0.391025363939912,1,2,3,4,5,6,0.55,-0.42,2.51,2.14,-0.52,-0.33,-1.29,2
14,0.999999999822785,0.930745627326382,0.37749450190075,0.073811434379755,0.468422260306786,0.0495549436534608,1,2,3,4,5,6,0.97,-0.98,0.36,2.17,0.08,-0.71,-1.84,2
15,0.927766855180547,0.971522732077646,0.64676518110835,0.594089185419533,0.140192505550523,0.176717152947454,1,2,3,4,5,6,0.21,-2.49,-0.41,-2.72,-0.41,-1.5,-2.11,2
16,0.898824910582912,0.727617431213035,0.604641652688676,0.123198323248032,0.211936711668151,0.0295550303614539,1,2,3,4,5,6,0.23,0.12,0.16,0.34,1.67,0.48,0.49,2
17,0.866456535044269,0.917400622476515,0.365602084637427,0.380560719842503,0.0998022627039732,0.0408959473615252,1,2,3,4,5,6,0.57,-1.32,1.12,0.84,-0.64,-2.44,0.52,2
18,0.991708709133169,0.998128043146352,0.361310668861983,0.363429456939943,0.545128816120536,0.19992800579982,1,2,3,4,5,6,0.47,-1.23,0.03,-1.08,1.62,0.88,0.23,2
19,6.18104089132538e-09,0.0079784672016228,0.736149247222264,0.40723900975078,0.226515777248321,0.0445564929157217,1,2,3,4,5,6,0.79,-0.29,-2.32,-2.25,0.71,-0.12,2.68,1
20,0.0543232091424619,0.0439000020877317,0.394633417287446,0.408858537882308,0.168221223264744,0.0642634659140314,1,2,3,4,5,6,0.29,-0.31,-2.23,2.53,-1.48,-2.82,0.34,1
